Ano;Total_Homicidios_Mulheres;Feminicidios_FBSP;Indice_Conservadorismo;Percentual_Alto_Conservadorismo;Perc_Mulheres_Ja_Sofreram_Violencia_Domestica;Perc_Brasil_Muito_Machista;Decada
1998;2194,0;;;;;;1998-2009
1999;2133,0;;;;;;1998-2009
2000;2349,0;;;;;;1998-2009
2001;2442,0;;;;;;1998-2009
2002;2436,0;;;;;;1998-2009
2003;2522,0;;;;;;1998-2009
2004;2501,0;;;;;;1998-2009
2005;2636,0;;;;;;1998-2009
2006;2693,0;;;;;;1998-2009
2007;2571,0;;;;;;1998-2009
2008;2729,0;;;;;;1998-2009
2009;2784,0;;;;;;1998-2009
2010;3072,0;;;;;;2010-2019
2011;3057,0;;;;;;2010-2019
2012;3177,0;;;;;;2010-2019
2013;3243,0;;;;27,0;;2010-2019
2014;3261,0;;;;;;2010-2019
2015;3116,0;449,0;;;;;2010-2019
2016;3161,0;929,0;;;;;2010-2019
2017;3315,0;1075,0;;;;;2010-2019
2018;2994,0;1229,0;;;;;2010-2019
2019;2579,0;1330,0;;;29,0;;2010-2019
2020;2577,0;1354,0;;;;;2020-2025
2021;2604,0;1347,0;0,639;;;;2020-2025
2022;2598,0;1455,0;0,637;;;;2020-2025
2023;2628,0;1475,0;0,665;;30,0;;2020-2025
2024;2494,0;1492,0;;;;;2020-2025
2025;;1568,0;0,652;49,0;;70,0;2020-2025
