Ano;Homicidios_Gerais;Homicidios_Mulheres;Decada;Percentual_Mulheres;Feminicidios_FBSP;Diferenca_Homicidios_Feminicidios
2024;39946;;2020-2025;;1492,0;
2023;43443;3903,0;2020-2025;8,98;1475,0;2428,0
2019;44033;3737,0;2010-2019;8,49;1330,0;2407,0
2022;44367;3806,0;2020-2025;8,58;1455,0;2351,0
2000;45360;3744,0;1998-2009;8,25;;
2021;45562;3858,0;2020-2025;8,47;1347,0;2511,0
2005;47578;3887,0;1998-2009;8,17;;
2020;47680;3833,0;2020-2025;8,04;1354,0;2479,0
2007;47707;3778,0;1998-2009;7,92;;
2001;47943;3851,0;1998-2009;8,03;;
2004;48374;3831,0;1998-2009;7,92;;
2006;49145;4030,0;1998-2009;8,2;;
2002;49695;3868,0;1998-2009;7,78;;
2008;50113;4029,0;1998-2009;8,04;;
2003;51043;3941,0;1998-2009;7,72;;
2009;51434;4265,0;1998-2009;8,29;;
2011;52198;4522,0;2010-2019;8,66;;
2010;52260;4477,0;2010-2019;8,57;;
2018;55914;4519,0;2010-2019;8,08;1229,0;3290,0
2012;56337;4729,0;2010-2019;8,39;;
2013;56804;4769,0;2010-2019;8,4;;
2015;58138;4621,0;2010-2019;7,95;449,0;4172,0
2014;59681;4836,0;2010-2019;8,1;;
2016;61143;4645,0;2010-2019;7,6;929,0;3716,0
2017;63748;4936,0;2010-2019;7,74;1075,0;3861,0
1998;41974;3504,0;1998-2009;8,35;;
1999;42947;3536,0;1998-2009;8,23;;
