Ano;Categoria;Indicador;Valor;Unidade;Fonte
2025;Local de ocorrência;Residência;72,2;%;RASEAM 2026 / SINAN
2025;Local de ocorrência;Via pública;13,4;%;RASEAM 2026 / SINAN
2025;Local de ocorrência;Outros locais;7,0;%;RASEAM 2026 / SINAN
2025;Local de ocorrência;Bar ou similar;2,2;%;RASEAM 2026 / SINAN
2025;Local de ocorrência;Comércio ou serviços;2,1;%;RASEAM 2026 / SINAN
2025;Local de ocorrência;Escola;2,0;%;RASEAM 2026 / SINAN
2025;Autoria da violência;Parceiro íntimo;38,2;%;RASEAM 2026 / SINAN
2025;Autoria da violência;Cônjuge;20,8;%;RASEAM 2026 / SINAN
2025;Autoria da violência;Amigos/conhecidos;12,3;%;RASEAM 2026 / SINAN
2025;Autoria da violência;Desconhecido(a);9,6;%;RASEAM 2026 / SINAN
2025;Autoria da violência;Ex-cônjuge;9,5;%;RASEAM 2026 / SINAN
2025;Autoria da violência;Mãe;9,4;%;RASEAM 2026 / SINAN
2025;Autoria da violência;Pai;7,9;%;RASEAM 2026 / SINAN
2025;Autoria da violência;Namorado(a);5,0;%;RASEAM 2026 / SINAN
2025;Autoria da violência;Filho(a);4,2;%;RASEAM 2026 / SINAN
2025;Autoria da violência;Irmão(ã);3,2;%;RASEAM 2026 / SINAN
2018;Proteção institucional;Municípios sem nenhum instrumento de proteção;70,0;%;IBGE MUNIC 2018
2018;Proteção institucional;Municípios sem nenhum instrumento de justiça;90,0;%;IBGE MUNIC 2018
2018;Proteção institucional;Municípios com Conselho Municipal de Direitos da Mulher;23,58;%;IBGE MUNIC 2018
2018;Proteção institucional;Municípios com Centro Especializado de Atendimento à Mulher;6,91;%;IBGE MUNIC 2018
2018;Proteção institucional;Municípios com Casas-Abrigo;2,41;%;IBGE MUNIC 2018
2018;Proteção institucional;Municípios com Delegacia Especializada de Atendimento às Mulheres;8,26;%;IBGE MUNIC 2018
